SMILES,Category,PC1,PC2
CCCCCCCCC[C@H](O)CC(=O)O,LCFA,-2.673605730894832,-1.539214344841112
C/C=C/C=C/C=C/C(=O)O,MCFA,0.3394322555776062,1.9749388983388922
Cc1ccccc1/C=C/C(=O)O,AR,1.2803811486897185,1.7447720998520488
C/C=C/c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
C/C=C/c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
C/C=C/c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
C/C=C/c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
C/C=C/c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
C/C=C/c1ccccc1/C=C/C(=O)O,AR,1.3289217178057688,1.9529198599280992
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
C=C(C)C/C(C)=C/C(=O)O,MCFA,0.14932263652460334,1.3798655538389981
C=C(C)C/C(C)=C/C(=O)O,MCFA,0.14932263652460334,1.3798655538389981
CCC(=O)O,SCFA,-0.27134838087856006,0.6393155327740148
CCCCCCCCCCCCCC(=O)O,LCFA,-1.2915992604251698,0.17969778608988568
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
CC(C)=CC(=O)O,SCFA,0.345318215572506,1.368283971551618
